time,altitude,velocity,mass,fuel_mass,thrust,thrust_command,filtered_altitude,filtered_velocity,measured_altitude,measured_velocity
0.0,1000.0,-30.0,1200.0,200.0,0.0,0.0,1000.0248357076506,-30.004147929035135,1000.2483570765056,-30.041479290351354
0.01,999.699919,-30.0162,1200.0,200.0,0.0,4344.0,1000.0247284637906,-29.959662240439382,1000.0237632690504,-29.559291043077593
0.02,999.399676,-30.032400000000003,1200.0,200.0,0.0,4344.0,999.9505155486753,-29.973960125103922,999.2825993126384,-30.102641087084756
0.03,999.0992709999999,-30.048600000000004,1200.0,200.0,0.0,4344.0,999.9443517345832,-29.958401070718942,999.8888774077536,-29.81836958125413
0.04,998.7987039999999,-30.064800000000005,1200.0,200.0,0.0,4344.0,999.8063132418281,-29.95276416233947,998.5639668070324,-29.902031986924214
0.05,998.4979749999999,-30.081000000000007,1200.0,200.0,0.0,4344.0,999.6523085330047,-29.979559638712633,998.2662661535936,-30.220718926071083
0.060000000000000005,998.1970839999999,-30.097200000000008,1200.0,200.0,0.0,4344.0,999.5188841932825,-30.048722082181104,998.318065135783,-30.67118407339735
0.07,997.8960309999999,-30.11340000000001,1200.0,200.0,0.0,4344.0,999.2703529823285,-30.072058499840224,997.0335720837434,-30.282086258772303
0.08,997.5948159999998,-30.12960000000001,1200.0,200.0,0.0,4344.0,999.052157728079,-30.068385229878345,997.0884004398326,-30.03532580022143
0.09,997.2934389999998,-30.145800000000012,1200.0,200.0,0.0,4344.0,998.8308846514951,-30.118495817930572,996.8394269622393,-30.569491110400598
0.09999999999999999,996.9918999999998,-30.162000000000013,1200.0,200.0,0.0,4344.0,998.7202686247916,-30.129619525152112,997.7247243844605,-30.229732890145975
0.10999999999999999,996.6901989999998,-30.178200000000015,1200.0,200.0,0.0,4344.0,998.5206380725468,-30.177220018223306,996.7239631023438,-30.605624455864053
0.11999999999999998,996.3883359999998,-30.194400000000016,1200.0,200.0,0.0,4344.0,998.2801887290659,-30.17561033870968,996.1161446377372,-30.161123223087056
0.12999999999999998,996.0863109999997,-30.210600000000017,1200.0,200.0,0.0,4344.0,998.0032512772882,-30.167838364288343,995.5108142112886,-30.097890594496317
0.13999999999999999,995.7841239999997,-30.22680000000002,1200.0,200.0,0.0,4344.0,997.7513066150634,-30.18248534035331,995.4838046550403,-30.314308124938
0.15,995.4817749999996,-30.24300000000002,1200.0,200.0,0.0,4344.0,997.4942681229456,-30.132968460782713,995.1809216938849,-29.687316544647338
0.16,995.1792639999996,-30.25920000000002,1200.0,200.0,0.0,4344.0,997.2620928494141,-30.177322942573124,995.1725153876307,-30.576513278686793
0.17,994.8765909999996,-30.275400000000023,1200.0,200.0,0.0,4344.0,997.0646699100778,-30.223755957814944,995.2878634560512,-30.64165309499133
0.18000000000000002,994.5737559999995,-30.291600000000024,1200.0,200.0,0.0,4344.0,996.8260216988201,-30.289330465749845,994.6781877975019,-30.879501037163955
0.19000000000000003,994.2707589999995,-30.307800000000025,1200.0,200.0,0.0,4344.0,996.5040861264931,-30.28527158209879,993.6066659755503,-30.248741629239287
0.20000000000000004,993.9675999999995,-30.324000000000026,1200.0,200.0,0.0,4344.0,996.2873608428436,-30.284003375453214,994.3368332899972,-30.272589515643034
0.21000000000000005,993.6642873333328,-30.33853333333336,1199.9993204213388,199.99932042133878,200.0,4344.0,996.019271077773,-30.298489482108906,993.6064631921387,-30.428864442010145
0.22000000000000006,993.3608376666756,-30.351399998112306,1199.9979612640163,199.99796126401634,400.0,4343.997539925246,995.6795016371449,-30.32537585996109,992.6215766714919,-30.567353260630718
0.23000000000000007,993.057267666737,-30.362599989617557,1199.9959225280327,199.99592252803268,600.0,4343.9926197757395,995.3942463015561,-30.297384606140167,992.826948281257,-30.045463321751882
0.24000000000000007,992.7535940002873,-30.37213330029819,1199.9932042133878,199.9932042133878,800.0,4343.985239551478,995.1473619859077,-30.357750680216853,992.9254031450715,-30.90104534690701
0.25000000000000006,992.449833334187,-30.379999919771628,1199.9898063200817,199.9898063200817,1000.0,4343.975399252464,994.8938133192054,-30.37152807258482,992.6118753188845,-30.495524603896524
0.26000000000000006,992.146002335414,-30.38619983482357,1199.9857288481144,199.98572884811438,1200.0,4343.963098878696,994.5851861208109,-30.354644960143467,991.807541335261,-30.20269694817131
0.2700000000000001,991.8421176710929,-30.390733029407944,1199.9809717974858,199.98097179748584,1400.0,4343.948338430174,994.3624292519639,-30.33031536349643,992.3576174323408,-30.111348993673083
0.2800000000000001,991.5381960085225,-30.393599484646785,1199.975535168196,199.97553516819607,1600.0,4343.931117906899,994.0380450514588,-30.345920146887003,991.1185872469111,-30.48636319740215
0.2900000000000001,991.2342540152051,-30.39479917883015,1199.969418960245,199.9694189602451,1800.0,4343.91143730887,993.7742291194036,-30.32154169626765,991.3998857309069,-30.102135640693444
0.3000000000000001,990.930308358874,-30.394332087415997,1199.962623173633,199.9626231736329,2000.0,4343.889296636087,993.4658783314584,-30.334390504682403,990.6907212399514,-30.450029780415143
0.3100000000000001,990.6263757075217,-30.39219818303003,1199.9551478083595,199.95514780835947,2200.0,4343.864695888551,993.1266113203644,-30.376057471239587,990.0732082205186,-30.75106017025423
0.3200000000000001,990.3224727294293,-30.38839743546556,1199.9469928644246,199.9469928644246,2400.0,4343.837635066261,992.8868237523907,-30.33660426680506,990.7287356406264,-29.98152542689431
0.3300000000000001,990.0186160931935,-30.382929811683333,1199.9381583418285,199.9381583418285,2600.0,4343.808114169217,992.5964024803919,-30.311130834356128,989.9826110324033,-30.081869942315727
